Variables ->,DIFFREALGDP_obs,DIFFREALEC_obs,DIFFREALEIK_obs,DIFFREALECD_obs,DIFFREALECH_obs,DIFFREALW_obs,INFCNA_obs,INFCOR_obs,INFK_obs,R_obs,RT2_obs,unemp_obs,AH_obs
1984Q4,0.8174229219142237,1.0087852791134186,2.3242406084138305,3.1943210298521025,0.09860213324376196,0.05590001699277648,0.615924431051988,0.7091522330653302,0.18377092589535476,2.2902393217304184,2.6666273396003155,-261.7295837833746,0.7351602976864768
1985Q1,0.9643147316146856,1.4888747519863308,1.114558035823162,3.41330063694584,0.23776182025667109,0.27301208033977076,1.1721527777532974,1.3548151597007068,0.5078881702839391,2.0970246017648764,2.5350932435669287,-262.6470214109787,1.0050297517318008
1985Q2,0.8766200074860789,0.8811670690818061,1.4222494459174457,1.1843638739460982,0.8419929094239584,0.3017023201263035,0.8074692491419306,0.8634616761535241,0.23195353602151622,1.9614701142434237,2.3203699831635185,-261.7295837833746,1.1596990143839747
1985Q3,1.5157260373827903,1.203356404301675,-1.1427861274281395,6.204505513624039,1.8457672805698,0.8652590154795448,0.781799319155712,1.0217721133259998,-0.16984953940778014,1.9557499215530718,2.199792827699474,-263.1089159966082,0.9166122963168988
1985Q4,0.7406991828691536,0.820645209803051,1.7941127895325717,-3.506025688986889,2.1573248436606764,1.3139399424817015,0.6942226816215971,0.7146681951045815,0.25835229983284197,2.00558632031168,2.1100803908018695,-265.450943417418,0.8965819969934508
1986Q1,0.9294151553613748,0.6288505975448129,-0.9968003951700838,2.021271627553697,3.9806390992365244,0.9203685637175225,0.7057627024981475,1.0739007864189976,0.02285048788362622,1.9377700426236495,1.9246917362456835,-265.450943417418,0.23709623988734663
1986Q2,0.44928555450760527,0.6751841646489531,-2.0499383762805206,3.4702277273865296,5.5853514045448875,0.7722193024246706,-0.104534179125742,0.683308979600088,0.45958497718270824,1.7152058817565659,1.7307687455187164,-263.5729539522584,-0.5437063225834926
1986Q3,0.9521209453501975,0.6727591941375326,-1.1556066445376365,8.187028271412752,1.3579636624379083,0.8328632445057071,0.5267836726817129,0.6844468588892831,0.8314263888939959,1.5397514180005079,1.5996373084599285,-266.4033315685436,-0.5416215907803057
1986Q4,0.5349594167117164,1.0177002156484671,0.9620678019312184,-1.5970774355028312,0.27093993970269276,0.7868721849682734,0.603553777503878,0.810999207780423,0.5644567775720744,1.554521133546235,1.5569825407328421,-268.33575885118387,-0.28732511395865856
1987Q1,0.7391067993540323,1.2278075734673435,-2.390311730495529,-6.112645518224927,-0.17151003926983877,-0.19902237020827332,0.9424230984925253,0.6313212366104182,0.839320938680181,1.5430337655357593,1.5750310091231905,-271.8100536955712,0.4641098201953575
