Variables ->,DIFFREALGDP_obs,DIFFREALEC_obs,DIFFREALEIK_obs,DIFFREALECD_obs,DIFFREALECH_obs,DIFFREALW_obs,INFCNA_obs,INFCOR_obs,INFK_obs,R_obs,RT2_obs,unemp_obs,AH_obs
1984Q4,0.5406826674002078,0.563624473677632,2.322989959663606,3.0423709939262387,-0.14486645093055595,0.0868714649183242,-0.11686442331241631,-0.05156651626238018,-0.723426918262198,1.1034067526366953,1.4330768323595615,-276.42513412920164,0.5107055793706294
1985Q1,0.6859992247353438,1.0432636016176846,1.1151191579893722,3.2572551858885146,-0.013271767121790845,0.30317498799046194,0.45849758289627407,0.6110620782679337,-0.378707376509756,0.9251624132453506,1.3169389320191986,-277.0779322563775,0.8427678919960435
1985Q2,0.5968611668078531,0.43517607045972106,1.4243066599302152,1.0246499107049019,0.5841243685531244,0.33100703916257307,0.11292123527142262,0.1368171782356027,-0.63391409626844,0.8053641874036173,1.118213871463082,-275.8685696888444,1.059613692541106
1985Q3,1.2346563865779419,0.7570590051963648,-1.1396149978609151,6.041514870734616,1.5817772373434225,0.8936700176896795,0.1062981447868554,0.3123484472879552,-1.0148861584831874,0.816132603290521,1.0141944600526243,-276.93019019656396,0.8773545227898971
1985Q4,0.4584511097234979,0.37411706039163506,1.79794600794811,-3.67193628027429,1.8879082382981738,1.3414358849185093,0.03767716635837881,0.022549779422344818,-0.5657687473179523,0.8831382104562322,0.9415564345588381,-278.930260574112,0.915643038054359
1986Q1,0.6461151880068601,0.18216628701700033,-0.9928096875802672,1.8527234927022074,3.706462654534401,0.9469379580304812,0.06805390282914947,0.39914567570716075,-0.780282013860675,0.8331216969495121,0.7737163776442058,-278.56563408095144,0.31094398399638123
1986Q2,0.16505470175861786,0.22841694954667136,-2.0463536244075713,3.2992867885946477,5.307041527722785,0.7978526860212403,-0.7235493579302057,0.02595259469175204,-0.3224941448586168,0.6289389915130494,0.597774652912173,-276.30194339504305,-0.41949442730171427
1986Q3,0.6670735709142542,0.225982226309973,-1.153034407960153,8.013895102895667,1.0760801395282775,0.8575484337276951,-0.07370175662728584,0.044502774760466934,0.07046246359441449,0.47240038019678066,0.48501790679592927,-278.7271614684083,-0.37232391949935106
1986Q4,0.24920587168520658,0.5709874088738283,0.9630018102888472,-1.7722642264125037,-0.014062874581977247,0.8105906929968874,0.021423008661250353,0.18846285704541665,-0.1753316057447562,0.5065762164134624,0.4610956605765373,-280.2366266595642,-0.07915754196252678
1987Q1,0.4527521326955438,0.7812344890958506,-2.3916438343426516,-6.289863925428662,-0.4592889772839486,-0.17629938182040172,0.37846516547212405,0.026173468093855234,0.12076544627579916,0.5149454969471454,0.4982034165926581,-283.27183305868283,0.7039121979188323
