date,prob_full5_h4,prob_fin2_h4,magnitude_full5_h4,threshold_h4,prob_full5_h12,prob_fin2_h12,magnitude_full5_h12,threshold_h12
1965Q1,0.032816999754610984,0.04234123499866039,-0.24704508547723691,0.473333333333334,0.29331825711784776,0.3890204868621287,1.7022654358172367,1.8866666666666678
1965Q2,0.04060819123911924,0.049932923296848356,-0.1381909529006632,0.473333333333334,0.34626034125306054,0.40127033512015964,1.8568849989525904,1.8866666666666678
1965Q3,0.04023243751118708,0.04917585855168636,-0.11879791158442143,0.473333333333334,0.3806931841825099,0.39061270918878854,1.9212428525374077,1.8866666666666678
1965Q4,0.0268822295793274,0.03398223295297018,-0.24690217660350816,0.473333333333334,0.4003405652294844,0.38742957187572774,1.9225504378607225,1.8866666666666678
1966Q1,0.031229530162130505,0.03382364179971571,-0.14617628778353475,0.473333333333334,0.5200589108053115,0.4150177610451967,2.2269946476434406,1.8866666666666678
1966Q2,0.07674189766066525,0.07792884013593647,0.1923908480174671,0.473333333333334,0.5670330649849794,0.4312849148391935,2.408450209967687,1.8866666666666678
1966Q3,0.09221637769821094,0.09382029820838438,0.2950066423658836,0.473333333333334,0.5807335083063362,0.45167346099353034,2.470359645438543,1.8866666666666678
1966Q4,0.20495982813372202,0.20930985611676314,0.6574049674050944,0.473333333333334,0.5727516681824327,0.447338435325139,2.5226892031559416,1.8866666666666678
1967Q1,0.15803682417459705,0.17836877183543948,0.5285035695492264,0.473333333333334,0.4448396367795503,0.3751341860650799,2.177198137304487,1.8866666666666678
1967Q2,0.036399668518140194,0.042087760718086134,0.05218693902422844,0.473333333333334,0.3049331641613404,0.23966532211535502,1.6977818209443687,1.8866666666666678
1967Q3,0.01810529670759517,0.01945884881716146,-0.11810736004177769,0.473333333333334,0.27070545991670847,0.1877776802356333,1.558230658065563,1.8866666666666678
1967Q4,0.017354068354068844,0.01665642863484655,-0.1121406899435492,0.473333333333334,0.28493956244445334,0.17642262691969698,1.6102934877364388,1.8866666666666678
1968Q1,0.049482843971906186,0.046101368535738346,0.2895445409272168,0.473333333333334,0.3748661438432195,0.23522876700850678,1.949420193729979,1.8866666666666678
1968Q2,0.18350630590967654,0.17505095281601862,0.745730605940871,0.473333333333334,0.5356929664313512,0.3771671348596831,2.449755944104237,1.8866666666666678
1968Q3,0.261191156527632,0.25801599000696457,0.8925335618249042,0.473333333333334,0.5440210677351518,0.40112005514848426,2.5000003945179023,1.8866666666666678
1968Q4,0.16660241744919205,0.15378581112891063,0.7623748740533152,0.473333333333334,0.55257892459151,0.36543413968807936,2.487796894784748,1.8866666666666678
1969Q1,0.18014979125452446,0.18816580335767064,0.7529346654642777,0.473333333333334,0.5307816569555909,0.41102497324827575,2.4390449293328373,1.8866666666666678
