date,unrate,infl4q,credit_gr16q,bond_spread,term_spread,du_h4,du_h12
1965Q1,4.8999999999999995,1.1994758472122657,2.5600911303169878,0.583333333333333,0.22666666666666657,-1.0333333333333328,-1.1666666666666665
1965Q2,4.666666666666667,1.485814791190111,2.434354100629409,0.6133333333333324,0.12666666666666782,-0.8333333333333335,-1.1000000000000005
1965Q3,4.366666666666667,1.5312621971055211,2.2770219262346765,0.6433333333333326,0.16999999999999993,-0.6000000000000001,-0.8333333333333339
1965Q4,4.1000000000000005,1.50421282144829,2.084540223476275,0.4933333333333323,0.30666666666666664,-0.4000000000000008,-0.7000000000000006
1966Q1,3.8666666666666667,1.9517908048905377,2.1962400001504565,0.3966666666666665,0.21000000000000085,-0.033333333333333215,-0.4666666666666668
1966Q2,3.8333333333333335,2.2581797763935625,2.2090734822313802,0.7099999999999991,-0.13333333333333286,0.0,-0.3999999999999999
1966Q3,3.766666666666667,2.6480448438785267,1.945925017839715,0.7266666666666675,-0.27000000000000046,0.03333333333333233,-0.20000000000000062
1966Q4,3.6999999999999997,3.1132914882999105,1.5732192575321307,1.1333333333333337,-0.5600000000000005,0.20000000000000018,-0.1333333333333333
1967Q1,3.8333333333333335,2.6297680917729607,1.457878799194308,1.2966666666666669,-0.2400000000000002,-0.10000000000000053,0.3333333333333335
1967Q2,3.8333333333333335,2.295096400782621,1.2898522875541563,1.160000000000001,0.8299999999999996,-0.26666666666666705,0.9333333333333331
1967Q3,3.7999999999999994,2.455653169603863,1.1969594821870368,1.083333333333334,1.353333333333334,-0.26666666666666616,1.3666666666666676
1967Q4,3.9,2.545086309989687,1.4600599669929322,1.0799999999999992,1.4700000000000006,-0.5,1.9333333333333331
1968Q1,3.733333333333333,3.3147154434273087,1.1589560650526156,1.2199999999999998,0.8199999999999994,-0.33333333333333304,2.2000000000000006
1968Q2,3.5666666666666664,3.8572483191407887,1.0627677171147243,1.2800000000000002,-0.2400000000000002,-0.13333333333333286,2.333333333333335
1968Q3,3.533333333333333,3.9639364441240033,0.9207024379062589,1.4033333333333333,-0.48666666666666636,0.033333333333333215,2.500000000000001
1968Q4,3.4,4.205291484527926,0.8253453018110819,1.256666666666666,-0.1466666666666665,0.16666666666666652,2.5333333333333337
1969Q1,3.4,4.1133743253303034,0.5727627380133038,1.1999999999999993,-0.3899999999999997,0.766666666666667,2.3666666666666667
1969Q2,3.4333333333333336,4.360625893756249,0.5942554833478018,1.2333333333333316,-1.9733333333333318,1.333333333333333,2.2666666666666666
1969Q3,3.5666666666666664,4.546971727200185,0.5382644185101828,1.0600000000000005,-2.126666666666666,1.6000000000000005,2.0
1969Q4,3.5666666666666664,4.597266821289311,0.7042719241674056,1.0766666666666662,-1.6433333333333326,2.2666666666666666,1.8000000000000007
1970Q1,4.166666666666667,4.782291229284609,0.6818604479914826,1.3899999999999988,-1.2066666666666652,1.7666666666666666,0.7666666666666666
1970Q2,4.766666666666667,4.61680496266547,0.7597658426252322,1.2633333333333328,-0.1733333333333329,1.1333333333333346,0.16666666666666696
