Variables ->,dyobs,lur,dp,ptr,rff,tr
1960Q1,6.17919817423813,5.133333333333334,1.2644366931319257,,3.9333333333333336,0.0
1960Q2,-3.2852639296179107,5.233333333333333,1.5120668193703368,,3.6966666666666668,0.0
1960Q3,0.6776104281441345,5.533333333333334,1.5648391836506306,,2.936666666666667,0.0
1960Q4,-6.57142349655998,6.266666666666666,1.309084497416962,,2.296666666666667,0.0
1961Q1,1.2338566691051258,6.8,0.6820262818447734,,2.0033333333333334,0.0
1961Q2,5.445485075491677,7.0,1.3108781333286195,,1.7333333333333334,
1961Q3,6.380992544019081,6.766666666666667,1.7356833581508055,,1.6833333333333333,
1961Q4,7.135920815207268,6.2,0.9555390775242,,2.4,
1962Q1,6.437989527238611,5.633333333333333,1.4782286312741473,,2.4566666666666666,
1962Q2,2.128928485895385,5.533333333333334,1.53811729481232,,2.606666666666667,
1962Q3,3.0608099357288943,5.566666666666666,1.3125323859657887,,2.8466666666666662,
1962Q4,-0.930225088938073,5.533333333333334,0.7480893382336113,,2.9233333333333333,
1963Q1,2.3854895509771405,5.766666666666667,1.3219935187470206,,2.966666666666667,
1963Q2,2.7365000761683254,5.733333333333333,1.5112808287715451,,2.9633333333333334,
1963Q3,7.056472085131029,5.5,1.5377357491439436,,3.33,
1963Q4,0.9262722806190846,5.566666666666666,1.9238899590685359,,3.453333333333333,
1964Q1,6.664393919208746,5.466666666666666,1.6917730954455459,,3.4633333333333334,
1964Q2,2.73537339106265,5.2,1.184761975767483,,3.49,
1964Q3,4.478513864394835,5.0,1.110010623130481,,3.456666666666667,
1964Q4,-0.5238805476872771,4.966666666666666,1.0200758723503798,,3.5766666666666667,
1965Q1,7.89174634724503,4.8999999999999995,1.5055836632348905,,3.9766666666666666,
1965Q2,3.4019478900381386,4.666666666666667,1.2411879791371572,,4.079999999999999,
1965Q3,7.466481475344053,4.366666666666667,1.2373485207909516,,4.076666666666667,
1965Q4,7.774115369119933,4.1000000000000005,1.3270635306140284,,4.166666666666667,
